book_id,goodreads_book_id,biography,business,childrens,classics,fantasy,historical-fiction,humor,memoir,mystery,non-fiction,paranormal,romance,science,science-fiction,young-adult
1,2767052,0.0,0.0,0.0,0.0,4.034909073367748,0.0,0.0,0.0,0.0,0.0,0.0,3.5240064455573723,0.0,3.727432805415581,4.26473520478817
2,3,0.0,0.0,3.371944805569452,3.070037866607755,4.676501563293181,0.0,0.0,0.0,2.8182258936139557,0.0,2.9656719712201065,0.0,0.0,0.0,4.005652315355074
3,41865,0.0,0.0,0.0,0.0,4.155001836231253,0.0,0.0,0.0,0.0,0.0,3.714413592287121,0.0,0.0,2.3900514964589874,4.0603389270796155
4,2657,0.0,0.0,0.0,4.271597682858468,0.0,3.48422863769372,0.0,0.0,2.392696953259666,0.0,0.0,0.0,0.0,0.0,3.1992064791616577
5,4671,0.0,0.0,0.0,4.275599252783646,0.0,3.217878578027433,0.0,0.0,0.0,0.0,0.0,3.3203540328176717,0.0,0.0,2.5998830720736876
6,11870085,0.0,0.0,0.0,0.0,0.0,0.0,2.6794278966121188,0.0,0.0,0.0,0.0,3.8948696567452528,0.0,0.0,4.098730230046384
7,5907,0.0,0.0,2.8291428932285543,3.8955054187582747,4.621041193105499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6399842480415887,3.162862993321926
8,5107,0.0,0.0,0.0,4.117668940562442,0.0,2.290034611362518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3405432575141942
9,960,0.0,0.0,0.0,1.9444826721501687,2.509202522331103,2.7259116322950483,0.0,0.0,3.758987546867619,0.0,0.0,1.9444826721501687,0.0,2.144574207609616,0.0
10,1885,0.0,0.0,0.0,4.325474612795331,0.0,3.3620109792299933,0.0,0.0,0.0,0.0,0.0,3.9423553497076766,0.0,0.0,2.3502480183341627
11,77203,0.0,0.0,0.0,2.762678563727436,0.0,3.3464507775096948,0.0,0.0,0.0,2.2671717284030137,0.0,0.0,0.0,0.0,2.3096301674258988
12,13335037,0.0,0.0,0.0,0.0,3.710540447933297,0.0,0.0,0.0,0.0,0.0,0.0,3.5676144427308447,0.0,3.477796299015296,4.124194369761858
13,5470,0.0,0.0,0.0,3.63286204010023,2.9444826721501687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.678670097637955,2.367355921026019
14,7613,0.0,0.0,0.0,4.117569563463827,3.3384564936046046,2.441695135640717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0392157659039505,2.4913616938342726
15,48855,3.6291036501771363,0.0,2.2479732663618064,3.8068580295188172,0.0,3.0638960381259945,0.0,3.284881714655453,0.0,3.8756688504545904,0.0,0.0,0.0,0.0,3.1136091510730277
16,2429135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.961041216953312,0.0,0.0,0.0,0.0,0.0,0.0
17,6148028,0.0,0.0,0.0,0.0,3.9374677396433775,0.0,0.0,0.0,0.0,0.0,0.0,3.4473131088235682,0.0,3.308919955522892,4.057456892436256
18,5,0.0,0.0,3.252428233716468,3.037824750588342,4.594734988590292,0.0,0.0,0.0,2.7218106152125467,0.0,2.857935264719429,0.0,0.0,0.0,3.9333860419030544
19,34,0.0,0.0,0.0,3.683677298818692,4.4999481305756515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5269850685599957,2.6201360549737576
20,7260188,0.0,0.0,0.0,0.0,3.904282657645628,0.0,0.0,0.0,0.0,0.0,0.0,3.396548037987132,0.0,3.6012267948356946,4.172194128466931
21,2,0.0,0.0,3.0604460024330127,2.385606273598312,3.5368108659915416,0.0,0.0,0.0,2.651278013998144,0.0,2.8382192219076257,2.330413773349191,0.0,2.3010299956639813,2.8178957571617955
22,12232938,0.0,0.0,0.0,2.123851640967086,3.0203612826477078,0.0,0.0,0.0,3.3998467127129226,0.0,2.546542663478131,2.184691430817599,0.0,0.0,3.0548045002209547
23,15881,0.0,0.0,3.273522112999923,2.8506462351830666,4.596619084663801,0.0,0.0,0.0,2.780317312140151,0.0,2.8651039746411278,0.0,0.0,0.0,3.9277039127121554
24,6,0.0,0.0,3.2068258760318495,2.809896246602439,4.5840936546063356,0.0,0.0,0.0,2.693726948923647,0.0,2.846955325019824,0.0,0.0,0.0,3.938619781502681
25,136251,0.0,0.0,3.160618572399474,2.810568529216413,4.5716739005528355,0.0,0.0,0.0,2.6334684555795866,0.0,2.848189116991399,2.5440680443502757,0.0,0.0,3.9400181550076634
26,968,0.0,0.0,0.0,2.357934847000454,2.57978359661681,2.9444826721501687,0.0,0.0,2.0863598306747484,0.0,0.0,2.0644579892269186,0.0,2.0086001717619175,0.0
27,1,0.0,0.0,3.1624897277365047,2.9818186071706636,4.570250977193992,0.0,0.0,0.0,2.66838591669,0.0,2.82865989653532,2.525044807036845,0.0,0.0,3.9315087218666176
28,7624,0.0,0.0,2.2000292665537704,4.080283677441961,2.3560258571931225,2.24551266781415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.388278863459639,3.2669369111591733
29,18135,0.0,0.0,0.0,4.084272344192335,0.0,2.649334858712142,0.0,0.0,0.0,0.0,0.0,3.623766000133931,0.0,0.0,2.3531465462139796
30,8442457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9194964878630616,0.0,0.0,2.4638929889859074,0.0,0.0,0.0
31,4667024,0.0,0.0,0.0,2.716003343634799,0.0,3.7040217543300145,2.0863598306747484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0681858617461617
32,890,0.0,0.0,0.0,4.054268239547188,0.0,2.97657921864011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34143452457814
33,930,2.315970345456918,0.0,0.0,2.8561244442423,0.0,3.6505503492394107,0.0,2.41161970596323,0.0,2.296665190261531,0.0,3.2518814545525276,0.0,0.0,0.0
34,10818853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.039017321997412,0.0,0.0,2.0170333392987803
35,865,0.0,0.0,0.0,3.2632809142966215,3.3613500243522663,2.525044807036845,0.0,0.0,0.0,2.0569048513364727,0.0,2.0086001717619175,0.0,0.0,2.2227164711475833
36,3636,0.0,0.0,2.6697816152085365,2.7331972651065692,2.403120521175818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.444044795918076,2.482873583608754
37,100915,0.0,0.0,3.273348568749101,3.625723909525756,4.285129554630062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130333768495006,3.4114513421379375
